"2015-01-11","Η Σύναξις των Μυρίων αγίων Αγγέλων, Υγίνου, επισκόπου Ρώμης, Μαρτύρων Μαΐρου, Πέτρου, Σεβερίου και Λευκίου, Οσίων Ευπραξίας εκ Ρωσίας, Βιταλίου και Θεοδοσίου του Κοινοβιάρχου, Αγαπίου του αρχιμανδρίτου, Θεοδώρου και Στεφάνου, του εν Πλακιδιναίς, Θεοδοσίου επισκόπου Τραπεζούντας και Θεοδοσίου ηγουμένου της εν Άθω ιεράς Μονής του Φιλοθέου, του Θεσσαλονικέως, Μιχαήλ, του δια Χριστόν σαλού, Νεομάρτυρος Νικηφόρου, Εγκαίνια ναού Αγίου Στεφάνου του εν Πλακιδιαναίς, Εγκαίνια Ναού Μάρκου Αποστόλου πλησίον του Ταύρου, Εγκαίνια της Μεγάλης του Χριστού Εκκλησίας εν Θεσσαλονίκη","Θεοδόσιος (Δόσης, Δόσιος, Θεοδόσης), Θεοδοσία (Θεοδόσω)","Κατάλυση εις πάντα","","Φθίνων Αμφίκυρτος"
"2015-01-12","Μνήμη των αγίων οκτώ Μαρτύρων, Μαρτύρων Τατιανής, Ευθασίας, Μερτίου, Φιλοθέου, Ζωτικού, Ρογάτου, Μοδέστου, Καστουλίου, Πέτρου του Αβεσαλαμίτου, Αθανασίου του ομολογητού, Αγίου μάρτυρος Αρκαδίου, Ιερομάρτυρος Βασιλείου, Αγίου Βενεδίκτου, Οσίων Ευπραξίας, Μαρτινιανού, Γαλακτίωνος του δια Χριστόν σαλού, και Ηλιού του θαυματουργού του εν τω «Παραδείσω», Τιγρίου Πρεσβυτέρου και Ευτροπίου, Εϊλιανού εκ Ρώμης, Θεοδοσίου εκ Ρωσίας, Ιωάννου επισκόπου Ραβέννης, Σύναξις της Υπεραγίας Θεοτόκου της Μεσοπαντητίσσης εν Κρήτη, Σύναξις της Υπεραγίας Θεοτόκου της Γαλακτοτροφούσης, Σύναξις της Υπεραγίας Θεοτόκου του Ακαθίστου (της Μονής Χιλανδαρίου), Μνήμη Ναού Αγίου Αλεξάνδρου πλησίον των Αγίων Αποστόλων","Μέρτιος (Μέρτης, Μέρτος, Μύρτος), Μερτία (Μέρτα, Μέρτη, Μυρτιά), Τατιανή (Τάνια, Τατιάνα, Τάτια, Τίτη)","Κατάλυση εις πάντα","","Φθίνουσα Ημισέληνος"
"2015-01-13","Μαρτύρων Ερμύλου και Στρατονίκου, Νικολάου του Γραικού, Αθανασίου Μάρτυρος, Παχωμίου και Παπυρίνου, Οσίων Ελεαζάρου, Ιακώβου του από της Νισίβεως και Μαξίμου του Καυσοκαλυβίτου, Ειρηνάρχου του Εγκλείστου, Ιλαρίου επισκόπου Πικτώνων, Ρεμιγίου επισκόπου Ρημών, Κεντιγκέρνου Επισκόπου, Εγκαίνια της μονής του Προφήτου Ηλιού","Ερμύλλος (Ερμίλλος), Ερμύλλη (Ερμίλλη, Ερμύλα)","Κατάλυση εις πάντα","","Φθίνουσα Ημισέληνος"
"2015-01-14","Των Αγίων 38 Αββάδων των εν Σινά αναιρεθέντων και των Αγίων 33 Αββάδων των εν Ραϊθώ αναιρεθέντων, Νίνας Ισαποστόλου, Αγνής Μάρτυρος, Οσίων Θεοδούλου, Στεφάνου, Αδάμ, Σάββα πρώτου Αρχιεπισκόπου Σερβίας, Ιωαννικίου αρχιεπισκόπου Τυρνόβου, Μνήμη των οσίων πατέρων ημών Ακακίου, Ιωσήφ, Σεργίου, Αντωνίου, Βαρλαάμ, Ιώβ και Πέτρου, των εκ Ρωσίας","Νίνας, Νίνα","Νηστεία","","Φθίνουσα Ημισέληνος"
"2015-01-15","Μνήμη των αγίων εξ Πατέρων, Μαρτύρων Ελένης, Σεκουνδίνης, Ελπιδίου, Δάνακτος και Πανσοφίου, Οσίων Γαβριήλ, Προχόρου, Παύλου του Θηβαίου, Ιωάννου του «Καλυβίτου», Αλεξάνδρου του ακοιμήτου, Βαρλαάμ εκ Ρωσίας, Δανιήλ του Στυλίτου του εν Ευβοία, Ίτας της εξ Ιρλανδίας, Σαλώμης και Περοζράβας, των εκ Γεωργίας","Σεκούνδος, Σεκουνδίνη","Κατάλυση εις πάντα","","Φθίνων Μηνίσκος"
"2015-01-16","Η προσκύνησις της τίμιας αλύσεως του αγίου και ενδόξου αποστόλου Πέτρου, Μαρτύρων Ελασίππου, Μεσίππου και Πευσίππου των αυταδέλφων και Νεονίλλης, Δάνακτος του αναγνώστου, εξ Αυλώνας Βορείου Ηπείρου, Νεομαρτύρων Δαμασκηνού του μοναχού και πρεσβυτέρου, του εν Γαμπρόβω Τυρνόβου και Νικολάου του Μυτιληναίου, Γερασίμου Παλλαδά, πατριάρχου Αλεξανδρείας, Ελπιδίου και Ελένης, Οσίου Ρωμύλου και των συν αυτώ, Οσίου Ονωράτου, αρχιεπισκόπου Αρελάτης, Αγίου Μαξίμου της Τόμτα, του δια Χριστόν σαλού","Ελάσιππος, Μέσιππος, Πεύσιππος","Νηστεία","","Φθίνων Μηνίσκος"
"2015-01-17","Αγίου Αντωνίου του Μεγάλου, Αντωνίου του νέου, του εν Βερροία ασκήσαντος, Αντωνίου αρχιεπισκόπου Νόβγκοροντ, Αντωνίου επισκόπου Βολογκντά και Αντωνίου του Μετεωρίτου, Οσίου Φιλοθέου του Μετεωρίτου, Αριστοτέλους και Αχιλλέως (Αχιλλά), Αγίου Μάρτυρος, Θεοδοσίου του ευσεβούς βασιλέως του Μεγάλου, Ιουνίλλας και Τουρβώνος, του νοταρίου, Νεομάρτυρος Γεωργίου του εν Ιωαννίνοις, εκ Τσούρχλιου Γρεβενών","Αντώνιος (Αντώνας, Αντώνης, Αντωνίνος, Νάκος, Τόνης, Τόνυ), Αντωνία (Αντωνίνα, Τόνια), Θεοδόσιος (Δόσης, Δόσιος, Θεοδόσης), Θεοδοσία (Θεοδόσω)","Κατάλυση οίνου και ελαίου","","Φθίνων Μηνίσκος"
"2015-01-18","Αθανασίου και Κυρίλλου πατριαρχών Αλεξανδρείας, Οσίου Αθανασίου, του δια Χριστόν σαλού, Οσίου Αθανασίου εκ Ρωσίας, Μάρτυρος Θεοδούλης και των συν αυτή Ελλαδίου του Κομενταρησίου, Θεοδούλου, Βοηθού, Ευαγρίου, Μακαρίου, Αγίας μάρτυρος Ξένης, Οσίων Σιλβάνου, Εφραιμίου επισκόπου Μηλασσών και Μαρκιανού του από Κύπρου, Ιωακείμ εκ Βουλγαρίας, Εφραίμ και Αλεξίου, των εκ Γεωργίας, Μαξίμου επισκόπου Ουγγροβλαχίας","Αθανάσιος (Θανάσης, Θανάσος, Θάνος, Νάσος), Αθανασία (Θανασία, Νάσα, Νάσια, Νάνσυ), Κύριλλος, Κυριλλία (Κυρίλλα, Κυρίλλη), Θεόδουλος (Θεοδούλιος, Θεοδούλης), Θεοδουλία (Θεοδούλα, Θεοδούλη, Θεόδουλη)","Κατάλυση οίνου και ελαίου","","Φθίνων Μηνίσκος"
"2015-01-19","Μάρκου του Ευγενικού, επισκόπου Εφέσου, Οσίων Μακαρίου του Αιγυπτίου, Μακαρίου του Αλεξανδρέως, Μακαρίου επισκόπου Ιερισσού, Μακαρίου (Καλογερά) ιεροδιακόνου του Πατμίου, Μακαρίου του Νηστευτού, Μακαρίου Ρωμαίου, Αρσενίου αρχιεπισκόπου Κερκύρας, Μαρτύρων Ευφρασίας, Λουκιανού, Παύλης και των νηπίων Κλαυδίου, Υπατίου, Παύλου και Διονυσίου, Μαρτύρων Παύλου, Γεροντίου, Ιανουαρίου, Σατουρνίνου, Σακεσσίου, Ιουλίου, Κατίου, Πίου και Γερμανού, Κοσμά του «Χρυσοστομάτου», Θεοδότου επισκόπου Κυρηνείας, των εν Κύπρω, Μελετίου ομολογητού του Γαλησιώτου, Αντωνίου του Στυλίτου, Θεοδώρου του Νόβγκοροντ, του δια Χριστόν σαλού, Ανάμνησις του εν Νικαία μεγίστου θαύματος Μεγάλου Βασιλείου, Ανακομιδή του λειψάνου του Αγίου Γρηγορίου του Θεολόγου, Επάνοδος του ιερού λειψάνου του Οσίου Ευθυμίου του Μεγάλου, Η μετακομιδή των ιερών λειψάνων του Οσίου πατρός ημών Σάββα της Στορόζα της Ρωσίας","Μακάριος (Μακαράς, Μακάρης), Μακαρία (Μακάρω), Ευφράσιος (Ευφράσας, Ευφράσης, Φράσας, Φράσης, Φράσιος), Ευφρασία","Κατάλυση εις πάντα","","Νουμηνία"
"2015-01-20","Αγίου Ευθυμίου του Μεγάλου, Ευθυμίου Αρχιεπισκόπου Τυρνόβου, Ευθυμίου εκ Ρωσίας και Ευθυμίου Ησυχαστού, Οσίων Λαυρεντίου Εγκλείστου και Θεοδώρου Δικαίου, Μαρτύρων Βασιλείδου, Βάσσου, Ευσεβίου και Ευτυχίου, των Συγκλητικών, Μαρτύρων Αγνής και Θύρσου, Μαρτύρων Άννης και Ευσεβίου, Μαρτύρων Ιννά, Πιννά και Ριμμά «των κρυσταλλίνων», Νεομάρτυρος Ζαχαρίου του Αρταίου, του εν παλαιαίς Πάτραις, Πέτρου του τελώνου, Λέοντος του ευσεβέστατου βασιλέως, του καλουμένου Μακέλλη, του Θρακός","Ευθύμιος (Ευθύμης, Θέμης, Θύμιος), Ευθυμία, Θύρσος (Θύρσης), Θύρσα (Θύρση)","Κατάλυση οίνου και ελαίου","Παγκόσμια Ημέρα κατά της Λέπρας","Νουμηνία"
